"IDLOCALIDAD","UNIDAD_DE_ANALISIS","IDPERIODO","IDEPOCA","IDEDADGEOLOGICA","IDEDAD_L/M","ISOTOPO","IDMAGNETOCRON","EDAD_MINIMA","MET_FECHADO_MNIMO","EDAD_MAXIMA","MET_FECHADO_MAXIMO"
161.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
162.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
163.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
164.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
165.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
166.00,"capa","QUAT","ND","ND","ND","ND","ND","ND","ND","ND","ND"
166.00,"capa I","ND","ND","ND","ND","ND","ND","1964 D.C.","ND","1525 D.C.","ND"
166.00,"capa I","QUAT","ND","ND","ND","ND","ND","1525 D.C.","ND","1964 D.C.","ND"
166.00,"capa II","ND","ND","ND","ND","ND","ND","1525 D.C.","ND","1100","ND"
166.00,"capa II","QUAT","ND","ND","ND","ND","ND","1100 D.C.","ND","1525 D.C.","ND"
166.00,"capa III","ND","ND","ND","ND","ND","ND","1100 D.C.","ND","350 D.C.","ND"
166.00,"capa IV","ND","ND","ND","ND","ND","ND","350 D.C.","ND","0 D.C.","ND"
166.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
167.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
168.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
169.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
170.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
171.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
172.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
173.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
174.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
175.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
176.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
177.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
177.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
178.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
180.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
181.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
182.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
183.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
184.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
185.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
186.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
187.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
188.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
189.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
189.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
190.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
190.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
191.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
192.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
193.00,"ND","ND","PLIO","ND","ND","ND","ND","ND","ND","ND","ND"
193.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
194.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
195.00,"ND","QUAT","?PLE","ND","ND","ND","ND","ND","ND","ND","ND"
196.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
197.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
198.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
199.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
200.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
201.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
202.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
203.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
204.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
205.00,"limo verde, 3m de prof. de formacin de Becerra","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
205.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
205.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
206.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
207.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
208.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
209.00,"estrato Vb","QUAT","HOLO","ND","ND","ND","ND","800 BC","14CD","700 BC","14CD"
209.00,"estrato VIII","QUAT","HOLO","ND","ND","ND","ND","1000 BC","14CD","800 BC","14CD"
209.00,"estrato XXI y IX","QUAT","HOLO","MHOL","ND","ND","ND","1250 BC","14CD","1000 BC","14CD"
209.00,"estrato XXII","QUAT","HOLO","MHOL","ND","ND","ND","4500 BC","ND","3500 BC","ND"
209.00,"estrato XXV","QUAT","HOLO","MHOL","ND","ND","ND","5500 BC","14CD","4500","14CD"
209.00,"ND","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
209.00,"ND","QUAT","HOLO","ND","ND","ND","ND","ND","ND","ND","ND"
209.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
210.00,"ND","QUAT","LPLE","ND","RANC","ND","ND","ND","ND","ND","ND"
210.00,"ND","QUAT","PLEI","ND","ND","ND","ND","11000","fauna","70 000","fauna"
211.00,"ND","QUAT","HOPL","ND","ND","ND","ND","ND","ND","ND","ND"
211.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
211.00,"trench 2, lots 1,2","QUAT","HOLO","ND","ND","ND","ND","ND","ND","ND","ND"
212.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
213.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
214.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
215.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
216.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
217.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
217.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
218.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
219.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
220.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
220.00,"Pit 2","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
220.00,"Pit 4","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
220.00,"Pit 5","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
221.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
221.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
221.00,"unidad E","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
222.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
223.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
223.00,"ND","QUAT","PLEI","WISC","ND","ND","ND","ND","ND","ND","ND"
224.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
225.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
226.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
227.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
227.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
228.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
229.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
230.00,"ND","QUAT","HOPL","ND","ND","ND","ND","ND","ND","ND","ND"
231.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
232.00,"ND","QUAT","HOPL","ND","ND","ND","ND","ND","ND","ND","ND"
233.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
234.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
235.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
236.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
237.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
238.00,"capa I","QUAT","HOLO","HOLO","ND","ND","ND","1300 D.C.","ND","Nuestros das","ND"
238.00,"capa II","QUAT","HOLO","HOLO","ND","ND","ND","950 D.C.","ND","1300 D.C.","ND"
238.00,"capa III","QUAT","HOLO","HOLO","ND","ND","ND","950 D.C.","ND","1300 D.C.","ND"
238.00,"capa IV","QUAT","HOLO","HOLO","ND","ND","ND","650 D.C.","ND","950 D.C.","ND"
238.00,"capa V","QUAT","HOLO","HOLO","ND","ND","ND","250 D.C.","ND","650 D.C.","ND"
238.00,"capa VI","QUAT","HOLO","HOLO","ND","ND","ND","250 D.C.","ND","650 D.C.","ND"
238.00,"capa VII","QUAT","HOLO","HOLO","ND","ND","ND","250 D.C.","ND","650 D.C.","ND"
238.00,"capa VIII","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
239.00,"capa Alfa 1-7","QUAT","HOLO","HOLO","ND","ND","ND","7000 A.C.","ND","ND","ND"
239.00,"capa I","QUAT","HOLO","HOLO","ND","ND","ND","1964 D.C.","ND","200 A.C.","ND"
239.00,"capa II","QUAT","HOLO","HOLO","ND","ND","ND","200 A.C.","ND","2500 A.C.","ND"
239.00,"capa III","QUAT","HOLO","HOLO","ND","ND","ND","2500 A.C.","ND","ND","ND"
239.00,"capa IV","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
239.00,"capa V","QUAT","HOLO","HOLO","ND","ND","ND","5000 A.C.","ND","ND","ND"
239.00,"capa VI","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
239.00,"fase Tepeyolo","QUAT","HOLO","ND","ND","ND","ND","2500 A.C.","ND","1963 D.C.","ND"
239.00,"fase Texcal I","QUAT","HOLO","ND","ND","ND","ND","7000 A.C.","ND","5000 A.C.","ND"
239.00,"fase Texcal II","QUAT","HOLO","ND","ND","ND","ND","5000 A.C.","ND","2500 A.C.","ND"
240.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
241.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
242.00,"capa III","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
242.00,"capa IV","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
242.00,"capa V","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
242.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
242.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
243.00,"operacin I estr. D5-1","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
243.00,"operacin I estr. D5-5","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
243.00,"operacin II estr. H6-2,3","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
243.00,"operacin II estr. H6-4","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
243.00,"operacin III estr. F4-3","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
243.00,"operacin III estr. F4-5","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
243.00,"operacin III estr. F4-6","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
243.00,"operacin III estr. F4-7","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
243.00,"operacin III estr. F4-8,9","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
243.00,"operacin IV esc. IV-1","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
243.00,"operacin IV sep IV-3","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
243.00,"operacin IV sep IV-4","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
243.00,"operacin V este","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
243.00,"operacin V Mosil","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
243.00,"operacin V oeste","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
243.00,"operacin V Tonin N","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
243.00,"operacin VI","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
244.00,"ND","ND","ND","ND","ND","Etapa 5a-5e","ND","ND","ND","ND","ND"
245.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
245.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
245.00,"tercera unidad","QUAT","PLEI","ND","IRVI","ND","ND","ND","ND","ND","ND"
245.00,"unidad inferior","QUAT","PLEI","ND","IRVI","ND","ND","ND","ND","ND","ND"
245.00,"unidad sobreyecento","QUAT","PLEI","ND","RANC","ND","ND","ND","ND","ND","ND"
246.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
247.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
248.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
250.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
252.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
254.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
256.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
257.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
258.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
259.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
260.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
260.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
261.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
263.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
264.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
265.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
266.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
267.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
268.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
269.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
269.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
270.00,"ND","QUAT","ND","ND","ND","ND","ND","ND","ND","ND","ND"
272.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
273.00,"ND","QUAT","LPLE","SAWI","ND","ND","ND","ND","ND","ND","ND"
274.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
276.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
276.00,"ND","QUAT","ND","ND","ND","ND","ND","ND","ND","ND","ND"
276.00,"ND","QUAT","PLEI","ND","RANC","ND","ND","ND","ND","ND","ND"
276.00,"Tajo de Tequixquiac","QUAT","ND","ND","RANC","ND","ND","ND","ND","ND","ND"
277.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
278.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
280.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
280.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
281.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
282.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
283.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
284.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
285.00,"OC-45","QUAT","HOLO","ND","ND","ND","ND","ND","ND","ND","ND"
286.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
287.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
288.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
289.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
290.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
291.00,"ND","QUAT","EPLE","ND","ND","ND","ND","ND","ND","ND","ND"
291.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
291.00,"ND","QUAT","MPLE","ND","ND","ND","ND","ND","ND","ND","ND"
291.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
293.00,"ND","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
293.00,"ND","QUAT","HOLO","ND","ND","ND","ND","600 aos de nuestra era","ND","650 aos de nuestra era","ND"
293.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
294.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
295.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
296.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
297.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
298.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
299.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
300.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
301.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
302.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
303.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
304.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
305.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
306.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
307.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
308.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
309.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
310.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
311.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
312.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
313.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
314.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
315.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
316.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
317.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
318.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
319.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
320.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
321.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
323.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
324.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
324.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
325.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
326.00,"ND","QUAT","HOLO","HOLO","ND","ND","ND","ND","ND","ND","ND"
326.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
326.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
327.00,"ND","QUAT","HOPL","ND","ND","ND","ND","ND","ND","ND","ND"
328.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
329.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
330.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
331.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
332.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
333.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
334.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
335.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
336.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
337.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
338.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
339.00,"ND","QUAT","ND","ND","ND","ND","ND","ND","ND","ND","ND"
340.00,"ND","QUAT","ND","ND","ND","ND","ND","ND","ND","ND","ND"
341.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
342.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
343.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
344.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
345.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
346.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
347.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
348.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
349.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
350.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
351.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
352.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
352.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
353.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
354.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
355.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
356.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
357.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
358.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
359.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
360.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
361.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
362.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
363.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
364.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
365.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
365.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
366.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
367.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
368.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
369.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
370.00,"ND","QUAT","MPLE","ND","ND","ND","ND","ND","ND","ND","ND"
370.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
371.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
372.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
373.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
374.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
375.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
375.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
376.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
377.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
378.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
379.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
380.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
381.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
382.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
383.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
384.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
385.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
386.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
387.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
388.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
389.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
390.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
391.00,"ND","QUAT","PLEI","WISC","ND","ND","ND","ND","ND","ND","ND"
392.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
393.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
394.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
395.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
396.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
397.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
398.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
398.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
399.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
400.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
405.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
