"IDLOCALIDAD","UNIDAD_DE_ANALISIS","IDPERIODO","IDEPOCA","IDEDADGEOLOGICA","IDEDAD_L/M","ISOTOPO","IDMAGNETOCRON","EDAD_MINIMA","MET_FECHADO_MNIMO","EDAD_MAXIMA","MET_FECHADO_MAXIMO"
15.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
16.00,"ND","QUAT","PLEI","EWIS","ND","ND","ND","ND","ND","ND","ND"
16.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
16.00,"ND","QUAT","PLEI","ND","RANC","ND","ND","ND","ND","ND","ND"
17.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
17.00,"ND","QUAT","TMPL","ND","ND","ND","ND","ND","ND","ND","ND"
18.00,"ND","QUAT","EPLE","KANS","IRVI","ND","ND","ND","ND","ND","ND"
18.00,"ND","QUAT","EPLE","ND","IRVI","ND","ND","ND","ND","ND","ND"
18.00,"ND","QUAT","MPLE","KANS","IRVI","ND","ND","ND","ND","ND","ND"
18.00,"ND","QUAT","MPLE","ND","IRVI","ND","ND","ND","ND","ND","ND"
18.00,"ND","QUAT","PLEI","ND","IRVI","ND","MATU","ND","ND","ND","ND"
18.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
19.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
19.00,"ND","QUAT","ND","ND","ND","ND","ND","ND","ND","ND","ND"
20.00,"ND","QUAT","HOPL","ND","ND","ND","ND","ND","ND","ND","ND"
21.00,"ND","QUAT","LPLE","ILLI","ND","ND","ND","ND","ND","ND","ND"
21.00,"ND","QUAT","MPLE","ND","ND","ND","ND","ND","ND","ND","ND"
22.00,"ND","QUAT","LPLE","ILLI","ND","ND","ND","ND","ND","ND","ND"
22.00,"ND","QUAT","MPLE","ND","ND","ND","ND","ND","ND","ND","ND"
22.00,"ND","QUAT","ND","ND","IRVI","ND","ND","ND","ND","ND","ND"
22.00,"ND","QUAT","PLEI","ILLI","RANC","ND","ND","ND","ND","ND","ND"
22.00,"ND","QUAT","PLEI","KANS","IRVI","ND","ND","ND","ND","ND","ND"
22.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
23.00,"ND","?QUA","?PLE","ND","ND","ND","ND","ND","ND","ND","ND"
23.00,"ND","ND","PLIO","ND","ND","ND","ND","ND","ND","ND","ND"
23.00,"ND","QUAT","HOPL","ND","ND","ND","ND","ND","ND","ND","ND"
23.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
23.00,"ND","QUAT","ND","ND","ND","ND","ND","ND","ND","ND","ND"
23.00,"ND","QUAT","ND","SANG","RANC","ND","ND","ND","ND","ND","ND"
23.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
24.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
25.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
26.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
27.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
28.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
29.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
29.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
30.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
31.00,"debajo de tufa volcanica","QUAT","ND","ND","ND","ND","ND","ND","ND","ND","ND"
31.00,"ND","ND","PLIO","ND","ND","ND","ND","ND","ND","ND","ND"
31.00,"ND","QUAT","LPLE","EWIS","IRVI","ND","ND","ND","ND","ND","ND"
31.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
31.00,"ND","QUAT","ND","ND","ND","ND","ND","ND","ND","ND","ND"
31.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
31.00,"ND","QUAT","PLEI","ND","RANC","ND","ND","ND","ND","ND","ND"
31.00,"ND","QUAT","PLEI","SANG","ND","ND","ND","ND","ND","ND","ND"
32.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
33.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
33.00,"ND","QUAT","LPLE","ND","RANC","ND","ND","ND","ND","ND","ND"
33.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
34.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
35.00,"ND","QUAT","LPLE","ND","RANC","ND","ND","ND","ND","ND","ND"
36.00,"ND","QUAT","EPLE","ND","ND","ND","ND","ND","ND","ND","ND"
36.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
36.00,"ND","QUAT","LPLE","ND","RANC","ND","ND","ND","ND","ND","ND"
36.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
37.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
38.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
38.00,"ND","QUAT","LPLE","WISC","ND","ND","ND","ND","ND","ND","ND"
38.00,"ND","QUAT","PLEI","ND","IRVI","ND","ND","ND","ND","ND","ND"
38.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
39.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
40.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
41.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
42.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
43.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
44.00,"ND","QUAT","?PLE","ND","ND","ND","ND","ND","ND","ND","ND"
44.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
45.00,"ND","QUAT","LPLE","ND","RANC","ND","ND","ND","ND","ND","ND"
45.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
46.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
47.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
48.00,"ND","ND","PLPL","ND","ND","ND","ND","ND","ND","ND","ND"
48.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
49.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
50.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
51.00,"ND","?QUA","?PLE","ND","ND","ND","ND","ND","ND","ND","ND"
51.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
