IDLOCALIDAD	UNIDAD_DE_ANALISIS	METODO_RECUPERACION	SISTEMA_DEPOSICION	AMBIENTE_DEPOSICION	IDFACIES	IDCONTAMINACION
269	ND	ND	ND	ND	LC	ND
272	ND	ND	LA	ND	ND	ND
273	ND	ND	FL	ND	GL	ND
282	ND	ND	LA	ND	ND	ND
284	ND	ND	AN	CU	RS	ND
284	ND	ND	AN	ND	ND	ND
284	ND	ND	CV	CU	RS	ND
288	ND	ND	LA	ND	ND	ND
323	ND	ND	LA	ND	TU	ND
327	ND	ND	LA	ND	ND	ND
328	ND	ND	LA	ND	ND	ND
330	ND	ND	LA	ND	ND	ND
330	ND	ND	ND	ND	LC	ND
347	ND	ND	CV	BI	ND	ND
348	ND	ND	CV	BI	ND	ND
349	ND	ND	CV	BI	ND	ND
360	ND	ND	LA	PA	ND	ND
362	ND	ND	ND	FS	ND	ND
390	ND	ND	LA	PL	ND	ND
442	ND	ND	ND	ND	AL	ND
489	ND	ND	FL	ND	ND	ND
522	ND	ND	ND	AR	ND	ND
537	Templo Olvidado	ND	BI	BI	ND	ND
540	ND	ND	ND	BI	ND	ND
540	ND	ND	ND	CU	ND	ND
549	ND	ND	AN	CU	ND	ND
564	ND	ND	ND	ND	AL	ND
591	ND	ND	ND	CU	ND	ND
592	ND	ND	ND	CU	ND	ND
597	ND	ND	ND	LG	ND	ND
613	ND	ND	ND	CU	ND	ND
626	ND	ND	LA	ND	ND	ND
647	ND	ND	LA	ND	ND	ND
669	ND	ND	FL	ND	ND	ND
677	ND	ND	ND	ND	AL	ND
686	ND	ND	ND	ND	AL	ND
687	ND	ND	ND	ND	AL	ND
742	"Fbrica Nacional de Automviles, S. A."	ND	LA	ND	ND	ND
760	formacin Guadiana	ND	ND	ND	AL	ND
764	ND	FLOT	CV	ND	ND	ND
795	capas en contacto con terrenos de cultivo y una capa dura de caliza	ND	ND	ND	LC	ND
796	ND	ND	ND	ND	LC	ND
797	"debajo de la capa superficial de suelo vegetal y sobre una capa de arenisca tierna, de color gris"	ND	ND	ND	LC	ND
805	ND	ND	ND	ND	AL	ND
809	ND	ND	ND	ND	LC	ND
813	ND	ND	ND	PL	LC	ND
815	ND	ND	ND	PL	ND	ND
822	ND	ND	CV	ND	ND	ND
823	ND	ND	CV	ND	ND	ND
825	ND	ND	CV	ND	BC	ND
828	ND	ND	CV	ND	BC	ND
828	ND	ND	CV	ND	ND	ND
829	ND	ND	CV	ND	BC	ND
832	ND	ND	LA	ND	ND	ND
839	ND	ND	ND	AR	ND	ND
852	ND	ND	CV	ND	ND	ND
856	ND	ND	ND	LG	ND	ND
860	ND	ND	ND	LG	ND	ND
861	ND	ND	LA	ND	ND	ND
872	ND	ND	CV	ND	ND	ND
875	ND	ND	CV	ND	ND	ND
876	ND	ND	CV	ND	ND	ND
877	ND	ND	CV	ND	ND	ND
907	ND	ND	CV	ND	ND	ND
911	ND	ND	ND	LG	ND	ND
919	ND	ND	ND	LG	ND	ND
