"IDFAUNA","IDLOCALIDAD","IDPUBLICACION","UNIDAD_DE_ANALISIS","DETERMINACION","IDESPECIEVALIDA","revisado","VALIDEZ","CONFIANZA","NMI","NUM_EJEMPLARES","CONTEXTO","MODIFICACION","suma_para_tabla_fauna"
1,1.00,1.00,"ND","Sorex cinereus",69.00,1,1,"S",999999999.00,2.00,"ND","ND",1.00
2,1.00,1.00,"ND","Sorex saussurei",76.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
3,1.00,1.00,"ND","Cryptotis mexicana",60.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
4,1.00,1.00,"ND","Leptonycteris nivalis",162.00,1,1,"S",999999999.00,17.00,"ND","ND",1.00
5,1.00,1.00,"ND","Desmodus stocki",147.00,1,1,"S",999999999.00,13.00,"ND","ND",1.00
6,1.00,1.00,"ND","Lasiurus cinereus",235.00,1,1,"S",999999999.00,1.00,"ND","ND",1.00
7,1.00,1.00,"ND","Plecotus tetralophodon",221.00,1,1,"S",999999999.00,1.00,"ND","ND",1.00
8,1.00,1.00,"ND","Sylvilagus sp.",926.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
9,1.00,1.00,"ND","Sylvilagus leonensis",924.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
10,1.00,1.00,"ND","Sciurus sp.",616.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
11,1.00,1.00,"ND","Sciurus alleni",607.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
12,1.00,1.00,"ND","Spermophilus sp.",627.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
13,1.00,1.00,"ND","Spermophilus cf. spilosoma",628.00,1,1,"P",999999999.00,999999999.00,"ND","ND",1.00
14,1.00,1.00,"ND","Marmota sp.",605.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
15,1.00,1.00,"ND","Thomomys sp.",668.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
16,1.00,1.00,"ND","Thomomys umbrinus",670.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
17,1.00,1.00,"ND","Cratogeomys sp.",651.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
18,1.00,1.00,"ND","Cratogeomys castanops",644.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
19,1.00,1.00,"ND","Heterogeomys onerosus",661.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
20,1.00,1.00,"ND","Liomys irroratus",707.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
21,1.00,1.00,"ND","Reithrodontomys sp.",858.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
22,1.00,1.00,"ND","Peromyscus sp.",842.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
23,1.00,1.00,"ND","Peromyscus boylii",801.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
24,1.00,1.00,"ND","Sigmodon hispidus",872.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
25,1.00,1.00,"ND","Neotoma sp.",771.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
26,1.00,1.00,"ND","Neotoma albigula",750.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
27,1.00,1.00,"ND","Synaptomys cooperi",877.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
28,1.00,1.00,"ND","Microtus sp.",745.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
29,1.00,1.00,"ND","Microtus mexicanus",739.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
30,1.00,1.00,"ND","Erethizon dorsatum",886.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
31,1.00,1.00,"ND","Ursus americanus",408.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
32,1.00,1.00,"ND","Spilogale putorius",369.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
33,1.00,1.00,"ND","Conepatus mesoleucus",351.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
34,1.00,1.00,"ND","Mephitis mephitis",363.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
35,1.00,1.00,"ND","Taxidea taxus",373.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
36,1.00,1.00,"ND","Smilodon sp.",345.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
37,1.00,1.00,"ND","Equus sp.",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
38,1.00,1.00,"ND","Equus conversidens",505.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
39,1.00,1.00,"ND","Euceratherium sp.",583.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
40,1.00,1.00,"ND","Eptesicus cf. grandis",224.00,1,1,"P",999999999.00,999999999.00,"ND","ND",1.00
41,1.00,1.00,"ND","Aenocyon",316.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
42,1.00,1.00,"ND","Tremarctos mexicanus",406.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
43,1.00,1.00,"ND","Bassariscus sonoitensis",388.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
44,1.00,1.00,"ND","Mustela reliquus",365.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
45,1.00,1.00,"ND","Nothrotherium sp.",50.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
46,1.00,1.00,"ND","Tetrameryx conklingi",567.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
47,36.00,1.00,"ND","Brachyostracon cylindricus",34.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
48,37.00,1.00,"ND","Equus barcenaei",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
49,38.00,1.00,"ND","Mammuthus sonoriensis",497.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
50,39.00,1.00,"ND","Scelidotherium guanajuatensis",45.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
51,40.00,1.00,"ND","Equus arellanoi",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
52,22.00,1.00,"ND","Mylodon harlani",53.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
53,22.00,1.00,"ND","Holmesina cf. septentrionalis",24.00,1,1,"P",999999999.00,999999999.00,"ND","ND",1.00
54,22.00,1.00,"ND","Brachyostracon cf. mexicanus",36.00,1,1,"P",999999999.00,999999999.00,"ND","ND",1.00
55,22.00,1.00,"ND","Peromyscus",842.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
56,22.00,1.00,"ND","Erethizon dorsatum",886.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
57,22.00,1.00,"ND","Tremarctotherium ?",404.00,1,1,"C",999999999.00,999999999.00,"ND","ND",1.00
58,22.00,1.00,"ND","Equus arellanoi",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
59,22.00,1.00,"ND","Equus conversidens",505.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
60,22.00,1.00,"ND","Equus hibbardi",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
61,22.00,1.00,"ND","Equus littoralis",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
62,22.00,1.00,"ND","Equus parastylidens",515.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
63,22.00,1.00,"ND","Equus zoyatalis",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
64,22.00,1.00,"ND","Platygonus",532.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
65,22.00,1.00,"ND","Camelops",540.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
66,22.00,1.00,"ND","Breameryx cf. mexicana",564.00,1,1,"P",999999999.00,999999999.00,"ND","ND",1.00
67,22.00,1.00,"ND","Tetrameryx",571.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
68,41.00,1.00,"ND","Spermophilus",627.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
69,41.00,1.00,"ND","Felis",329.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
70,41.00,1.00,"ND","Equus sp.",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
71,42.00,1.00,"ND","Paenemarmota barbouri",590.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
72,43.00,1.00,"ND","Spermophilus",627.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
73,21.00,1.00,"ND","Geomys",656.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
74,21.00,1.00,"ND","Urocyon",326.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
75,21.00,1.00,"ND","Equus altidens",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
76,21.00,1.00,"ND","Equus caballus",502.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
77,21.00,1.00,"ND","Equus oviedoi",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
78,21.00,1.00,"ND","Camelops",540.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
79,21.00,1.00,"ND","Bison",577.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
80,44.00,1.00,"ND","Equus excelsus",506.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
81,45.00,1.00,"ND","Didelphis marsupialis",7.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
82,45.00,1.00,"ND","Brachyostracon mexicanus",36.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
83,45.00,1.00,"ND","Sylvilagus cunicularius",919.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
84,54.00,1.00,"ND","Sylvilagus cf. floridanus",920.00,1,1,"P",999999999.00,999999999.00,"ND","ND",1.00
85,46.00,1.00,"ND","Elephas primigenius",497.50,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
86,47.00,1.00,"ND","Equus conversidens",505.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
87,48.00,1.00,"ND","Cuvieronius oligobunis",491.70,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
88,49.00,1.00,"ND","Nothrotherium",50.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
89,49.00,1.00,"ND","Brachyostracon mexicanus",36.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
90,49.00,1.00,"ND","Neotoma",771.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
91,49.00,1.00,"ND","Neotoma near occidentalis",771.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
92,49.00,1.00,"ND","Equus sp.",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
93,9.00,1.00,"ND","Paramylodon ?",53.00,1,1,"C",999999999.00,999999999.00,"ND","ND",1.00
94,50.00,1.00,"ND","Mammuthus columbi",496.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
95,51.00,1.00,"ND","Mammuthus imperator",497.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
96,51.00,1.00,"ND","Elephas primigenius",497.50,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
97,51.00,1.00,"ND","Equus excelsus",506.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
98,52.00,1.00,"ND","Mammuthus imperator",497.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
99,52.00,1.00,"ND","Elephas primigenius",497.50,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
100,53.00,1.00,"ND","Mammuthus imperator",497.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
101,54.00,1.00,"ND","Mammut humboldti",487.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
102,55.00,1.00,"ND","Megatherium americanus",45.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
103,55.00,1.00,"ND","Mylodon",54.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
104,55.00,1.00,"ND","Mylodon sp. mayor (sic)",54.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
105,55.00,1.00,"ND","Mylodon sp. minor (sic)",54.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
106,56.00,1.00,"ND","Zalophus californicus (sic)",377.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
107,57.00,1.00,"ND","Neohipparion montezumae",500.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
108,58.00,1.00,"ND","Nothrotherium",50.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
109,58.00,1.00,"ND","Neochoerus",892.00,1,1,"P",999999999.00,999999999.00,"ND","ND",1.00
110,58.00,1.00,"ND","Felis",329.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
111,58.00,1.00,"ND","Holmesina",24.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
112,58.00,1.00,"ND","Equus mexicanus",512.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
113,58.00,1.00,"ND","Platygonus",532.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
114,58.00,1.00,"ND","Camelops",540.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
115,58.00,1.00,"ND","Cervus",550.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
116,58.00,1.00,"ND","Tetrameryx",571.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
117,58.00,1.00,"ND","Bison cheneyi (sic)",577.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
118,59.00,1.00,"ND","Sylvilagus",926.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
119,60.00,1.00,"ND","Mammuthus imperator",497.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
120,23.00,1.00,"ND","Nothrotherium mexicanum",49.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
121,23.00,1.00,"ND","Arctodus pristinus",402.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
122,23.00,1.00,"ND","Felis atrox",337.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
123,23.00,1.00,"ND","Equus colobatus (sic)",503.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
124,23.00,1.00,"ND","Equus leidy (sic)",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
125,23.00,1.00,"ND","Equus pectinatus",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
126,23.00,1.00,"ND","Equus semiplicatus",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
127,23.00,1.00,"ND","Proptoceras sinclairi (sic)",583.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
128,61.00,1.00,"ND","Paenemarmota barbouri",590.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
129,62.00,1.00,"ND","Platygonus alemanii",530.70,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
130,63.00,1.00,"ND","Mammut",490.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
131,64.00,1.00,"ND","Equus sp.",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
132,65.00,1.00,"ND","Felis concolor",340.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
133,65.00,1.00,"ND","Bison latifrons",578.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
134,66.00,1.00,"ND","Felis onca",338.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
135,66.00,1.00,"ND","Felis oregonensis",340.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
136,67.00,1.00,"ND","Equus barcenaei",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
137,68.00,1.00,"ND","Mammuthus imperator",497.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
138,68.00,1.00,"ND","Equus mexicanus",512.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
139,68.00,1.00,"ND","Bison occidentalis",575.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
140,69.00,1.00,"ND","Mammut productus",487.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
142,205.00,1.00,"ND","Mammuthus imperator",497.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
143,72.00,1.00,"ND","Gigantocamelus mexicanus",539.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
144,73.00,1.00,"ND","Mammuthus columbi",496.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
145,73.00,1.00,"ND","Elephas primigenius",497.50,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
146,73.00,1.00,"ND","Equus exelsus (sic)",487.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
147,74.00,1.00,"ND","Agriotherium",401.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
148,75.00,1.00,"ND","Mammuthus imperator",497.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
149,19.00,1.00,"ND","Cervus",550.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
150,76.00,1.00,"ND","Bison",581.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
152,78.00,1.00,"ND","Elephas primigenius",497.50,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
153,79.00,1.00,"ND","Urocyon aff. cinereoargenteus",325.00,1,1,"P",999999999.00,999999999.00,"ND","ND",1.00
154,31.00,1.00,"ND","Mylodon harlani",53.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
155,31.00,1.00,"ND","Glyptodon",37.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
156,31.00,1.00,"ND","Ursus",410.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
157,31.00,1.00,"ND","Ursus americanus",408.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
158,31.00,1.00,"ND","Mammuthus imperator",497.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
159,31.00,1.00,"ND","Elephas primigenius",497.50,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
160,31.00,1.00,"ND","Equus barcenaei",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
161,31.00,1.00,"ND","Equus conversidens",505.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
162,31.00,1.00,"ND","Equus mexicanus",512.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
163,31.00,1.00,"ND","Equus tau",519.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
165,31.00,1.00,"ND","Gigantocamelus magna (sic)",539.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
166,31.00,1.00,"ND","Eschatius conidens",547.20,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
167,80.00,1.00,"ND","Paenemarmota barbouri",590.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
168,81.00,1.00,"ND","Mylodon harleni (sic)",53.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
169,82.00,1.00,"ND","Mammuthus columbi",496.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
170,82.00,1.00,"ND","Mammuthus imperator",497.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
171,83.00,1.00,"ND","Equus mexicanus",512.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
172,84.00,1.00,"ND","Mammuthus columbi",496.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
173,84.00,1.00,"ND","Mammuthus imperator",497.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
174,85.00,1.00,"ND","Bison antiquus",575.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
175,86.00,1.00,"ND","Elephas americana",489.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
176,87.00,1.00,"ND","Mammut humboldtii (sic)",487.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
177,88.00,1.00,"ND","Cuvieronius tropicus",491.70,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
178,89.00,1.00,"ND","Cuvieronius oligobunis",491.70,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
179,90.00,1.00,"ND","Mammuthus columbi",496.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
180,91.00,1.00,"ND","Canis indianensis",322.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
181,91.00,1.00,"ND","Elephas",498.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
182,3.00,1.00,"ND","Brachyostracon mexicanus",36.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
183,3.00,1.00,"ND","Glyptodon ?",37.00,1,1,"C",999999999.00,999999999.00,"ND","ND",1.00
184,3.00,1.00,"ND","Microtus cf. californicus",736.00,1,1,"P",999999999.00,999999999.00,"ND","ND",1.00
185,3.00,1.00,"ND","Aenocyon dirus",316.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
186,3.00,1.00,"ND","Canis latrans",319.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
187,3.00,1.00,"ND","Canis ocrupus",319.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
189,3.00,1.00,"ND","Tremarctotherium simun (sic)",403.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
190,3.00,1.00,"ND","Felis atrox",337.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
191,3.00,1.00,"ND","Felis hyaenoides",329.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
192,3.00,1.00,"ND","Felis imperialis",337.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
193,3.00,1.00,"ND","Cuvieronius oligobunis",491.70,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
194,3.00,1.00,"ND","Cuvieronius tropicus",491.70,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
195,3.00,1.00,"ND","Mammuthus columbi",496.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
196,3.00,1.00,"ND","Mammuthus imperator",497.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
197,3.00,1.00,"ND","Elephas primigenius",497.50,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
198,3.00,1.00,"ND","Equus sp.",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
199,3.00,1.00,"ND","Equus barcenaei",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
200,3.00,1.00,"ND","Equus conversidens",505.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
201,3.00,1.00,"ND","Equus crenidens",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
202,3.00,1.00,"ND","Equus excelsus",506.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
203,3.00,1.00,"ND","Equus tau",519.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
204,3.00,1.00,"ND","Platygonus alemanii",531.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
206,3.00,1.00,"ND","Gigantocamelus mexicanus",539.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
207,3.00,1.00,"ND","Camelops hesternus",538.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
208,3.00,1.00,"ND","Eschatius conidens",547.20,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
209,3.00,1.00,"ND","Breameryx mexicana",564.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
210,3.00,1.00,"ND","Tetrameryx conklingi",567.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
211,3.00,1.00,"ND","Bison latifrons",578.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
212,3.00,1.00,"ND","Euceratherium collinum",583.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
213,3.00,1.00,"Tajo de Tequixquiac","Cervus",550.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
214,3.00,1.00,"entre el Tajo y Tequixquiac","Mammuthus columbi",496.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
215,3.00,1.00,"entre el Tajo y Tequixquiac","Equus sp.",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
216,3.00,1.00,"entre el Tajo y Tequixquiac","Equus mexicanus",512.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
217,3.00,1.00,"entre el Tajo y Tequixquiac","Camelops hesternus",538.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
218,3.00,1.00,"entre el Tajo y Tequixquiac","Bison latifrons",578.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
219,170.00,1.00,"ND","Holmesina septentrionalis",24.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
220,170.00,1.00,"ND","Brachyostracon mexicanus",36.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
221,170.00,1.00,"ND","Thomomys",668.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
222,170.00,1.00,"ND","Cratogeomys cf. tylorhinus",652.00,1,1,"P",999999999.00,999999999.00,"ND","ND",1.00
223,170.00,1.00,"ND","Canis",322.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
224,170.00,1.00,"ND","Equus mexicanus",512.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
225,170.00,1.00,"ND","Camelops hesternus",538.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
226,170.00,1.00,"ND","Bison occidentalis",575.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
227,3.00,1.00,"Tajo del desagüe viejo","Bison cheneyi (sic)",577.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
228,1.00,2.00,"ND","Equus conversidens leoni",505.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
229,3.00,2.00,"ND","Equus conversidens",505.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
230,3.00,2.00,"ND","Equus barcenai (sic)",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
231,3.00,2.00,"ND","Equus crenidens",518.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
232,3.00,2.00,"ND","Equus pacificus",516.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
233,3.00,2.00,"ND","Equus occidentalis",514.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
234,3.00,2.00,"ND","Equus mexicanus",512.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
235,3.00,2.00,"ND","Equus tau",519.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
236,21.00,2.00,"ND","Equus parastylidens",515.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
237,21.00,2.00,"ND","Onager oviedoi",500.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
238,22.00,2.00,"ND","Onager hibbardi",500.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
239,22.00,2.00,"ND","Onager zoyatalis",500.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
240,22.00,2.00,"ND","Equus parastylidens",515.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
241,22.00,2.00,"ND","Onager arellanoi",500.00,0,1,"S",999999999.00,999999999.00,"ND","ND",1.00
242,1.00,3.00,"ND","Nothrotheriops shastensis",50.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
243,1.00,4.00,"ND","Cuon alpinus",323.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
244,1.00,4.00,"ND","Felis yagouaroundi",331.00,1,1,"S",999999999.00,999999999.00,"ND","ND",1.00
