"IDLOCALIDAD","IDCOLECCION"
571.00,"DP"
572.00,"DP"
573.00,"DP"
574.00,"DP"
575.00,"DP"
576.00,"DP"
577.00,"DP"
578.00,"DP"
579.00,"DP"
580.00,"DP"
581.00,"DP"
584.00,"DP"
585.00,"DP"
586.00,"DP"
587.00,"DP"
589.00,"DP"
591.00,"DP"
593.00,"DP"
594.00,"DP"
595.00,"DP"
596.00,"DP"
598.00,"DP"
599.00,"DP"
601.00,"DP"
602.00,"DP"
603.00,"DP"
604.00,"DP"
605.00,"DP"
606.00,"DP"
610.00,"DP"
611.00,"DP"
612.00,"DP"
613.00,"DP"
614.00,"DP"
616.00,"DP"
618.00,"DP"
620.00,"IG"
623.00,"YUM"
624.00,"DP"
629.00,"IGM"
630.00,"DP"
631.00,"MNM"
634.00,"DP"
635.00,"DP"
638.00,"IGM"
639.00,"IGM"
645.00,"DP"
646.00,"DP"
647.00,"DP"
650.00,"IGM"
651.00,"CUM"
653.00,"MHNM"
655.00,"IGM"
656.00,"DP"
657.00,"IGM"
658.00,"DP"
659.00,"IG"
660.00,"MNM"
661.00,"IGM"
664.00,"IGM"
666.00,"MRPH"
673.00,"UL"
677.00,"UAEM"
679.00,"IG"
679.00,"TMM"
680.00,"UL"
682.00,"UL"
686.00,"IG"
687.00,"IG"
688.00,"DB"
690.00,"CODAUP"
690.00,"DP"
690.00,"UK"
692.00,"CODAUP"
693.00,"CODAUP"
693.00,"INAH"
694.00,"CODAUP"
694.00,"DP"
695.00,"CODAUP"
696.00,"CODAUP"
697.00,"CODAUP"
700.00,"IGM"
700.00,"MHNM"
701.00,"EI"
704.00,"PMXT"
705.00,"IG"
706.00,"IGM"
707.00,"DP"
711.00,"IGM"
720.00,"DP"
775.00,"INAH"
894.00,"PMXT"
907.00,"CNHM"
907.00,"IB"
907.00,"MR"
