"IDLOCALIDA","NOMBRE_ALTERNATIVO"
139.00,"ND"
140.00,"ND"
141.00,"ND"
142.00,"Valle del Ro Amajaque"
143.00,"ND"
144.00,"Cantera de Xico"
144.00,"Xico, Lago de Chalco"
145.00,"ND"
146.00,"ND"
147.00,"ND"
149.00,"ND"
150.00,"ND"
151.00,"ND"
152.00,"ND"
153.00,"ND"
154.00,"ND"
155.00,"ND"
156.00,"ND"
157.00,"ND"
158.00,"ND"
159.00,"ND"
160.00,"ND"
161.00,"ND"
162.00,"ND"
163.00,"ND"
164.00,"ND"
165.00,"ND"
166.00,"Cueva de La Nopalera"
167.00,"ND"
168.00,"ND"
169.00,"ND"
170.00,"ND"
171.00,"Paseo de la Reforma"
172.00,"ND"
173.00,"ND"
174.00,"Xilotepec"
175.00,"ND"
176.00,"ND"
177.00,"ND"
178.00,"ND"
180.00,"ND"
181.00,"Villa de Zacapu"
182.00,"ND"
183.00,"ND"
184.00,"ND"
185.00,"ND"
186.00,"ND"
187.00,"ND"
188.00,"Valle del Mamut"
188.00,"Valle del Mamut (sitio A1)"
189.00,"ND"
190.00,"ND"
191.00,"ND"
192.00,"ND"
193.00,"Barranca de Acultzingo"
193.00,"Caada de Aculcingo"
193.00,"Caada de Aculzingo"
193.00,"Can de Acultzingo"
194.00,"ND"
195.00,"ND"
196.00,"ND"
196.00,"San Miguel de Tecamachalco"
197.00,"Arroyo de Santa"
198.00,"ND"
199.00,"ND"
200.00,"ND"
201.00,"ND"
202.00,"ND"
203.00,"ND"
204.00,"ND"
205.00,"cerca del pueblo de Santa Isabel Iztapan"
205.00,"Santa Isabel Iztapan"
206.00,"ND"
207.00,"ND"
208.00,"ND"
209.00,"Tlapacoya IV"
210.00,"ND"
211.00,"Actun (=cueva) Lara"
211.00,"Cueva Actn y Lara"
211.00,"Cueva de Lara"
211.00,"Lara Cave"
212.00,"ND"
213.00,"ND"
214.00,"ND"
215.00,"Cenote Sagrado, Chichen-Itza"
216.00,"ND"
217.00,"Tequexquinahua"
218.00,"ND"
219.00,"ND"
220.00,"Lago de Atotonilco El Bajo"
221.00,"Hueyatalco, Tetela"
222.00,"cerca de Tequixquiac"
223.00,"ND"
224.00,"ND"
225.00,"ND"
226.00,"ND"
227.00,"ND"
228.00,"ND"
229.00,"ND"
230.00,"Cueva de Coyok"
230.00,"ND"
231.00,"Cueva de Chacaljas"
231.00,"ND"
232.00,"Banana Cave"
232.00,"Cueva Banana"
232.00,"Cueva de Has"
233.00,"ND"
234.00,"ND"
235.00,"ND"
236.00,"ND"
237.00,"abrigo de Santa Marta, Ocozocoautla"
237.00,"La Cueva de Santa Marta Ocozocoautla"
237.00,"SA-1, Ocozocuautla"
237.00,"Santa Martha"
237.00,"SM-1"
238.00,"ND"
239.00,"ND"
240.00,"ND"
241.00,"ND"
242.00,"Cerro del Chimalhuaque"
242.00,"Tzocuilco; Chimalhuacan, Atenco"
243.00,"ND"
244.00,"La Brisca"
245.00,"ND"
246.00,"Aguacatenango I"
246.00,"Aquacatenango (sic)"
247.00,"Santa Isabel Iztapan"
248.00,"ND"
250.00,"ND"
251.00,"Vaso del Lago de Texcoco"
252.00,"Salinas"
254.00,"ND"
256.00,"ND"
257.00,"Ixtapan"
258.00,"ND"
259.00,"ND"
260.00,"Totolzingo-Tepexpan"
261.00,"ND"
263.00,"ND"
264.00,"ND"
265.00,"Cueva Encantada"
265.00,"La Cueva Encantada de Chimalacatlan"
266.00,"ND"
267.00,"ND"
268.00,"ND"
269.00,"El Peon"
269.00,"Peon de los Baos"
269.00,"Peon de los Banos (sic)"
270.00,"ND"
272.00,"ND"
273.00,"Jocotepec"
274.00,"ND"
276.00,"ND"
277.00,"ND"
278.00,"N Valle de Mxico (obra del desage)"
280.00,"Len"
280.00,"Nuevo Len"
281.00,"Colonia Alamos"
281.00,"Los Alamos"
282.00,"ND"
283.00,"ND"
284.00,"ND"
285.00,"ND"
286.00,"ND"
287.00,"ND"
288.00,"ND"
289.00,"ND"
290.00,"ND"
291.00,"ND"
293.00,"ND"
294.00,"ND"
295.00,"cercanias Rancho La Angostura,"
296.00,"ND"
297.00,"ND"
298.00,"ND"
299.00,"ND"
300.00,"ND"
301.00,"ND"
302.00,"ND"
303.00,"ND"
304.00,"ND"
305.00,"ND"
306.00,"ND"
307.00,"ND"
308.00,"ND"
309.00,"ND"
310.00,"ND"
311.00,"ND"
312.00,"ND"
313.00,"ND"
314.00,"ND"
315.00,"ND"
316.00,"Venustiano Carranza"
317.00,"ND"
318.00,"ND"
319.00,"ND"
320.00,"ND"
321.00,"ND"
323.00,"Gertrudes Sanchez"
323.00,"Gertrudis Snchez"
324.00,"Los Reyes La Paz (cuadra 2)"
325.00,"ND"
326.00,"Los Reyes La Paz (cuadra 10)"
327.00,"ND"
328.00,"Base erea de Santa Luca"
329.00,"La Boquilla"
330.00,"Villa de Tamazulapan"
331.00,"ND"
332.00,"ND"
333.00,"ND"
334.00,"ND"
335.00,"ND"
336.00,"ND"
337.00,"ND"
338.00,"ND"
339.00,"ND"
340.00,"ND"
341.00,"Huachichil"
342.00,"ND"
343.00,"ND"
344.00,"ND"
345.00,"ND"
346.00,"ND"
347.00,"Aserradero el Paraiso"
348.00,"ND"
349.00,"ND"
350.00,"ND"
351.00,"ND"
352.00,"ND"
353.00,"ND"
354.00,"ND"
355.00,"ND"
356.00,"ND"
357.00,"ND"
358.00,"ND"
359.00,"ND"
360.00,"ND"
361.00,"ND"
362.00,"Mina La Erupcin"
363.00,"ND"
364.00,"ND"
365.00,"ND"
366.00,"ND"
367.00,"ND"
368.00,"Teapa"
369.00,"ND"
370.00,"Rancho La Cofrada"
370.00,"Tlataya (sic)"
370.00,"Tlatlalla (sic)"
370.00,"Tlatlaya (sic)"
371.00,"ND"
372.00,"ND"
373.00,"Catarina"
374.00,"ND"
375.00,"ND"
376.00,"ND"
377.00,"ND"
378.00,"ND"
379.00,"planicie mexicana"
380.00,"ND"
381.00,"ND"
382.00,"ND"
383.00,"ND"
384.00,"ND"
385.00,"ND"
386.00,"ND"
387.00,"ND"
388.00,"ND"
389.00,"ND"
390.00,"ND"
391.00,"ND"
392.00,"ND"
393.00,"ND"
394.00,"ND"
395.00,"ND"
396.00,"ND"
397.00,"Tetitla"
398.00,"ND"
399.00,"ND"
400.00,"ND"
403.00,"ND"
405.00,"ND"
407.00,"ND"
408.00,"ND"
409.00,"ND"
410.00,"ND"
411.00,"ND"
412.00,"ND"
413.00,"ND"
414.00,"Oztoyohualco"
415.00,"ND"
416.00,"ND"
417.00,"ND"
418.00,"ND"
419.00,"ND"
420.00,"ND"
421.00,"ND"
422.00,"ND"
423.00,"ND"
424.00,"ND"
425.00,"ND"
426.00,"ND"
428.00,"ND"
429.00,"ND"
430.00,"ND"
431.00,"Huachichil"
432.00,"ND"
434.00,"ND"
435.00,"ND"
436.00,"ND"
437.00,"ND"
438.00,"ND"
439.00,"ND"
440.00,"ND"
441.00,"ND"
442.00,"ND"
443.00,"ND"
447.00,"ND"
448.00,"ND"
449.00,"ND"
450.00,"ND"
451.00,"ND"
452.00,"ND"
453.00,"ND"
454.00,"S. T. C."
455.00,"ND"
456.00,"A-56 elementos 8-19"
456.00,"A-58"
457.00,"ND"
458.00,"ND"
459.00,"ND"
460.00,"ND"
461.00,"ND"
462.00,"ND"
463.00,"ND"
465.00,"ND"
466.00,"ND"
467.00,"ND"
468.00,"ND"
469.00,"ND"
470.00,"ND"
471.00,"ND"
472.00,"ND"
473.00,"ND"
474.00,"ND"
476.00,"ND"
477.00,"ND"
478.00,"ND"
479.00,"ND"
480.00,"ND"
482.00,"ND"
483.00,"ND"
484.00,"ND"
487.00,"ND"
488.00,"ND"
489.00,"ND"
490.00,"ND"
491.00,"ND"
492.00,"ND"
493.00,"ND"
494.00,"ND"
495.00,"ND"
496.00,"ND"
497.00,"ND"
498.00,"ND"
499.00,"La Trinitaria"
500.00,"ND"
501.00,"ND"
502.00,"ND"
503.00,"Iglesia de San Jernimo"
505.00,"ND"
506.00,"ND"
507.00,"ND"
508.00,"ND"
509.00,"ND"
510.00,"ND"
511.00,"ND"
512.00,"ND"
513.00,"ND"
514.00,"ND"
515.00,"ND"
516.00,"ND"
517.00,"ND"
518.00,"ND"
519.00,"ND"
520.00,"Arroyo del Agua Buena"
520.00,"Barrio del Llano"
521.00,"Sitio CC-1"
522.00,"ND"
523.00,"ND"
524.00,"ND"
525.00,"ND"
526.00,"ND"
527.00,"ND"
528.00,"ND"
530.00,"Ex. Hda. Bonixi"
531.00,"ND"
532.00,"ND"
533.00,"ND"
534.00,"ND"
535.00,"ND"
536.00,"ND"
537.00,"ND"
539.00,"ND"
540.00,"ND"
541.00,"Cueva AB-3"
541.00,"Sierra de Huanmaro, Abasolo"
542.00,"Tierra Blanca"
545.00,"ND"
546.00,"ND"
549.00,"ND"
550.00,"ND"
552.00,"ND"
553.00,"SON:T:1; Machomoncobe, Huatabampo"
554.00,"ND"
556.00,"ND"
557.00,"ND"
558.00,"ND"
559.00,"ND"
