"IDAUTORP","APELLIDO_PATERNO","APELLIDO_MATERNO","NOMBRE","ABREVIADO"
156.00,"Packard","ND","Robert L.","ND"
157.00,"Parmalee","ND","Paul W.","ND"
159.00,"Pichardo","Del Barrio","M.","ND"
160.00,"Bonilla","Luna","J.","ND"
161.00,"Hoppe","ND","W.","ND"
163.00,"Butrón","M.","Ligia","ND"
164.00,"Cárdenas","ND","Rolando","ND"
165.00,"Pollock","ND","H. E. D.","ND"
166.00,"Quinn","ND","James Harrison","ND"
167.00,"Ramos","Meza","Ernesto","ND"
168.00,"Delgado","ND","Diego W.","ND"
169.00,"Rea","ND","Amadeo M.","ND"
170.00,"Reyes","ND","Alicia E.","ND"
171.00,"Robison","ND","Niel D.","ND"
172.00,"Richey","ND","K. A.","ND"
173.00,"Sánchez","ND","Oscar","ND"
174.00,"Saunders","ND","Jeffrey J.","ND"
175.00,"Tassy","ND","Pascal","ND"
176.00,"Savage","ND","Donald E.","ND"
177.00,"Simpson","ND","George Gaylord","ND"
178.00,"Skinner","ND","Morris F.","ND"
179.00,"Steadman","ND","David W.","ND"
180.00,"Johnson","ND","Eileen","ND"
181.00,"Del Toro","ND","Jaime","ND"
182.00,"Toscano","Moreno","J. Jesús","ND"
183.00,"Van Devender","ND","Thomas R.","ND"
184.00,"Smith","ND","Michael L.","ND"
185.00,"Clayton","ND","E. Ray","ND"
186.00,"Denny","ND","Charles S.","ND"
187.00,"Rubin","ND","Meyer","ND"
188.00,"Wing","ND","Elizabeth S.","ND"
189.00,"Reitz","ND","Elizabeth S.","ND"
190.00,"Woodward","ND","Susan L.","ND"
191.00,"Wortman","ND","J. L.","ND"
192.00,"Zakrzewski","ND","Richard J.","ND"
193.00,"Peterson","ND","Amy A.","ND"
194.00,"Townsend","ND","Peterson A.","ND"
195.00,"Haynes","ND","C. Vance, Jr.","ND"
196.00,"Hester","ND","James J.","ND"
197.00,"Schafer","ND","Tracy S.","ND"
198.00,"Slaughter","ND","Bob H.","ND"
199.00,"Crook","ND","Wilson W., Jr.","ND"
200.00,"Harris","ND","R. K.","ND"
201.00,"Allen","ND","D. C.","ND"
202.00,"Seifert","ND","Martin","ND"
203.00,"Bolong","ND","N. A.","ND"
204.00,"Allen","ND","B. L.","ND"
206.00,"Flores","Díaz","A.","ND"
207.00,"Quintanar","Stephano","José Luis","ND"
208.00,"Rodríguez","Avalos","José Alberto","ND"
209.00,"Solórzano","ND","Federico A.","ND"
210.00,"White","ND","John A.","ND"
211.00,"Frick","ND","Childs","ND"
212.00,"King","ND","James E","ND"
213.00,"Emslie","ND","Steven D.","ND"
214.00,"Morgan","ND","Gary S.","ND"
215.00,"Mones","ND","Alvaro","ND"
216.00,"Schultz","ND","Gerald E.","ND"
217.00,"Mooser","ND","Oswaldo","ND"
218.00,"Manzanilla","ND","Linda","ND"
219.00,"Woodman","ND","Neal","ND"
220.00,"Goodwin","ND","Thomas H.","ND"
221.00,"Mena","De la Peña","Bertha","ND"
222.00,"Valencia","Cruz","Daniel J.","ND"
224.00,"Starbuck","ND","David Robert","ND"
225.00,"Mellink","ND","Eric","ND"
226.00,"De Terra","ND","Helmut","ND"
228.00,"Kurtén","ND","Björn","ND"
230.00,"Andrews","ND","Antonio P.","ND"
231.00,"Aranda","Manteca","Francisco Javier","ND"
232.00,"Tellez","Duarte","Miguel Agustín","ND"
233.00,"Buitrón","Sánchez","Blanca Estela","ND"
234.00,"Alvarez","ND","Ticul","ND"
235.00,"Osborn","ND","Henry Fairfield","ND"
241.00,"Polaco","ND","Oscar J.","ND"
244.00,"Lachica","ND","Francisco","ND"
245.00,"Porras","Díaz","Demetrio","ND"
246.00,"Carrillo","Montiel","Enrique","ND"
247.00,"Seymour","ND","Kevin Lloyd","ND"
248.00,"Hibbard","ND","Claude W.","ND"
250.00,"Russell","ND","Robert J.","ND"
251.00,"Saucedo","Ovalle","Antonio","ND"
252.00,"Pinsof","ND","John D.","ND"
255.00,"Becquelin","ND","Pierre","ND"
256.00,"Baudez","ND","Claude F.","ND"
258.00,"De Lachica","ND","Francisco","ND"
259.00,"Carrera","ND","Silvia","ND"
260.00,"Richards","ND","Ronald L.","ND"
261.00,"Churcher","ND","C. S.","ND"
262.00,"Turnbull","ND","William D.","ND"
264.00,"Arroyo","Cabrales","Joaquín","ND"
265.00,"Barbour","ND","Clyde E.","ND"
266.00,"Miller","ND","Loye","ND"
267.00,"Mead","ND","Jim I.","ND"
268.00,"Phillips","ND","Arthur M. III","ND"
269.00,"Middleton","ND","Larry T.","ND"
270.00,"Lawler","ND","Mark C.","ND"
272.00,"Werdelin","ND","Lars","ND"
273.00,"Conzatti","ND","C.","ND"
280.00,"Valentín","ND","Norma","ND"
281.00,"Morgan","ND","J. K.","ND"
282.00,"Morgan","ND","Niel H.","ND"
283.00,"Olivera","Carrasco","Ma. Teresa","ND"
285.00,"Guzmán","ND","Ana Fabiola","ND"
288.00,"Martínez","Muriel","Alejandro","ND"
289.00,"Rodríguez","Loubet","Francois","ND"
290.00,"Lindsay","ND","Everett H.","ND"
292.00,"Medrano","E.","Angélica Ma.","ND"
293.00,"Corona","M.","Eduardo","ND"
295.00,"Ocaña","ND","Aurelio","ND"
296.00,"Soto","Toral","Heriberto","ND"
297.00,"Zúñiga","Arellano","Belem","ND"
298.00,"Barrios","Rivera","Hiram","ND"
299.00,"Ralph","ND","Ronald W.","ND"
300.00,"Madden","ND","Cary T.","ND"
301.00,"Shoshasni","ND","Jeheskel","ND"
302.00,"Scott","ND","Eric","ND"
304.00,"García","del C.","Haydeé","ND"
305.00,"Valadez","ND","Raúl","ND"
309.00,"Barba","ND","Luis","ND"
310.00,"Ludlow","ND","Beatriz","ND"
312.00,"Castro","ND","H.","ND"
313.00,"Paredes","G.","Blanca","ND"
315.00,"González-Quintanilla","V.","Fernando","ND"
316.00,"et al. (sic)","ND","ND","ND"
317.00,"Shaw","ND","Christopher A.","ND"
318.00,"Maldonado","Koerdell","Manuel","ND"
320.00,"Gidley","ND","James Williams","ND"
321.00,"Clements","ND","Thomas","ND"
322.00,"Sabels","ND","Bruno E.","ND"
323.00,"Shutler","ND","Drick, Jr.","ND"
324.00,"Graham","ND","Russell W.","ND"
325.00,"Eaton","ND","George F.","ND"
326.00,"Albritton","ND","Claude C., Jr.","ND"
328.00,"Sellards","ND","E. H.","ND"
329.00,"Morlan","ND","Richard E.","ND"
330.00,"Balfour","Gourlay","W.","ND"
331.00,"Brown","ND","Barnum","ND"
333.00,"Aveleyra","Arroyo de Anda","Luis","ND"
334.00,"Roberts","ND","Frank H. H.","ND"
335.00,"Mason","ND","Ronald J.","ND"
336.00,"Irwin","ND","Carol","ND"
337.00,"Genoways","ND","Hugh H.","ND"
338.00,"Szabo","ND","Barney J.","ND"
339.00,"Malde","ND","Harold E.","ND"
340.00,"Irwin-Williams","ND","Cynthia","ND"
341.00,"Falconer","ND","H.","ND"
342.00,"Thenius","ND","Erich","ND"
344.00,"Epstein","ND","Jeremiah F.","ND"
345.00,"Carlson","ND","John B.","ND"
346.00,"Nance","ND","C. Roger","ND"
347.00,"Reyes","Cortés","Manuel","ND"
348.00,"Winans","ND","Melissa C.","ND"
349.00,"Irving","ND","William N.","ND"
350.00,"Bradley","ND","George L.","ND"
352.00,"Armillas","ND","Pedro","ND"
353.00,"Freudenberg","ND","Wilhelm","ND"
354.00,"Carranza","Castañeda","Oscar","ND"
355.00,"Montellano","Ballesteros","Marisol","ND"
357.00,"Nobis","ND","G.","ND"
358.00,"Torres","Martínez","Juan Carlos","ND"
360.00,"Haas","ND","Herbert","ND"
361.00,"Hartwell","ND","William T.","ND"
362.00,"Guenther","ND","Ekke W.","ND"
363.00,"Herre","ND","Wolf","ND"
364.00,"Kaup","ND","Lothar","ND"
365.00,"Freund","ND","Gisela","ND"
366.00,"Konieczna","Z.","Bárbara","ND"
368.00,"Valádez","Valádez","Ricardo","ND"
369.00,"Schmidt","ND","Peter J.","ND"
371.00,"De Iuliis","ND","Gerardo","ND"
372.00,"Cracraft","ND","Joel","ND"
373.00,"Hatt","ND","Robert T.","ND"
374.00,"Lazos","Ramírez","Luz","ND"
375.00,"Bruggemann","Jürgen","Kurt","ND"
376.00,"González","Licón","Ernesto","ND"
377.00,"Owen","ND","F. R. S.","ND"
379.00,"Lorenzo","ND","Jose Luis","ND"
380.00,"Mirambell","ND","Lorena","ND"
