"IDESPECIEVALIDA","IDCATEGORIA","IDNOMBREASCENDENTE","IDASCENDENTEOBLIGATORIO","TAXON_VALIDO","ORDEN","FAMILIA","GENERO","ESPECIE","FAUNMAP","ATLAS","AUTOR","AO","REFERENCIA_SEGUIDA","suma"
692.00,21.00,690.50,690.50,"Dipodomys compactus","Rodentia","Heteromyidae","Dipodomys","compactus","ND","ROHEDIPCOM","True","1889",819.00,1.00
693.00,21.00,690.50,690.50,"Dipodomys deserti","Rodentia","Heteromyidae","Dipodomys","deserti","DIde","ROHEDIPDES","Stephens","1887",819.00,1.00
694.00,21.00,690.50,690.50,"Dipodomys gravipes","Rodentia","Heteromyidae","Dipodomys","gravipes","ND","ROHEDIP","Huey","1925",819.00,1.00
695.00,21.00,690.50,690.50,"Dipodomys insularis","Rodentia","Heteromyidae","Dipodomys","insularis","ND","ROHEDIPINS","Merriam","1907",819.00,1.00
696.00,21.00,690.50,690.50,"Dipodomys margaritae","Rodentia","Heteromyidae","Dipodomys","margaritae","ND","ROHEDIPMAR","Merriam","1907",819.00,1.00
697.00,21.00,690.50,690.50,"Dipodomys merriami","Rodentia","Heteromyidae","Dipodomys","merriami","DIme","ROHEDIPMER","Mearns","1890",819.00,1.00
698.00,21.00,690.50,690.50,"Dipodomys nelsoni","Rodentia","Heteromyidae","Dipodomys","nelsoni","ND","ROHEDIPNEL","Merriam","1907",819.00,1.00
699.00,21.00,690.50,690.50,"Dipodomys ordii","Rodentia","Heteromyidae","Dipodomys","ordii","DIor","ROHEDIPORD","Woodhouse","1853",819.00,1.00
700.00,21.00,690.50,690.50,"Dipodomys phillipsii","Rodentia","Heteromyidae","Dipodomys","phillipsii","ND","ROHEDIPPHI","Gray","1841",819.00,1.00
701.00,21.00,690.50,690.50,"Dipodomys sp.","Rodentia","Heteromyidae","Dipodomys","sp.","DI","ND","ND","ND",999999999.00,1.00
702.00,21.00,690.50,690.50,"Dipodomys spectabilis","Rodentia","Heteromyidae","Dipodomys","spectabilis","DIsp","ROHEDIPSPE","Merriam","1890",819.00,1.00
702.50,15.00,673.00,673.00,"Heteromys","Rodentia","Heteromyidae","Heteromys","ND","ND","ND","Desmarest","1817",819.00,1.00
703.00,21.00,702.50,702.50,"Heteromys desmarestianus","Rodentia","Heteromyidae","Heteromys","desmarestianus","ND","ROHEHETDES","Gray","1868",819.00,1.00
704.00,21.00,702.50,702.50,"Heteromys gaumeri","Rodentia","Heteromyidae","Heteromys","gaumeri","ND","ROHEHETGAU","J. A. Allen y Chapman","1897",819.00,1.00
705.00,21.00,702.50,702.50,"Heteromys nelsoni","Rodentia","Heteromyidae","Heteromys","nelsoni","ND","ROHEHETNEL","Merriam","1902",819.00,1.00
706.00,21.00,702.50,702.50,"Heteromys sp.","Rodentia","Heteromyidae","Heteromys","sp.","ND","ND","ND","ND",999999999.00,1.00
706.50,15.00,673.00,673.00,"Liomys","Rodentia","Heteromyidae","Liomys","ND","ND","ND","Merriam","1902",819.00,1.00
707.00,21.00,706.50,706.50,"Liomys irroratus","Rodentia","Heteromyidae","Liomys","irroratus","LOir","ROHELIOIRR","(Gray)","1868",819.00,1.00
708.00,21.00,706.50,706.50,"Liomys pictus","Rodentia","Heteromyidae","Liomys","pictus","ND","ROHELIOPIC","(Thomas)","1893",819.00,1.00
709.00,21.00,706.50,706.50,"Liomys salvini","Rodentia","Heteromyidae","Liomys","salvini","ND","ROHELIOSAL","(Thomas)","1893",819.00,1.00
710.00,21.00,706.50,706.50,"Liomys sp.","Rodentia","Heteromyidae","Liomys","sp.","LO","ND","ND","ND",999999999.00,1.00
711.00,21.00,706.50,706.50,"Liomys spectabilis","Rodentia","Heteromyidae","Liomys","spectabilis","ND","ROHELIOSPE","Genoways","1971",819.00,1.00
711.50,15.00,673.00,673.00,"Perognathus","Rodentia","Heteromyidae","Perognathus","ND","ND","ND","Wied-Neuwied","1839",819.00,1.00
712.00,21.00,711.50,711.50,"Perognathus amplus","Rodentia","Heteromyidae","Perognathus","amplus","PGam","ROHEPERAMP","Osgood","1900",819.00,1.00
713.00,21.00,711.50,711.50,"Perognathus flavescens","Rodentia","Heteromyidae","Perognathus","flavescens","PGfl","ROHEPERFLA","Merriam","1889",819.00,1.00
714.00,21.00,711.50,711.50,"Perognathus flavus","Rodentia","Heteromyidae","Perognathus","flavus","PGfv","ROHEPERFLV","Baird","1855",819.00,1.00
715.00,21.00,711.50,711.50,"Perognathus huastecensis","Rodentia","Heteromyidae","Perognathus","huastecensis","ND","ND","Dalquest y Roth","1970",819.00,1.00
716.00,21.00,711.50,711.50,"Perognathus longimembris","Rodentia","Heteromyidae","Perognathus","longimembris","PGlo","ROHEPERLON","(Coues)","1875",819.00,1.00
717.00,21.00,711.50,711.50,"Perognathus merriami","Rodentia","Heteromyidae","Perognathus","merriami","PGme","ROHEPERMER","J. A. Allen","1892",819.00,1.00
718.00,21.00,711.50,711.50,"Perognathus sp.","Rodentia","Heteromyidae","Perognathus","sp.","PG","ND","ND","ND",999999999.00,1.00
719.00,11.00,590.00,590.00,"Muridae","Rodentia","Muridae","ND","ND","MUR","ND","Illiger","1815",819.00,1.00
719.50,15.00,719.00,719.00,"Baiomys","Rodentia","Muridae","Baiomys","ND","ND","ND","True","1894",819.00,1.00
720.00,21.00,719.50,719.50,"Baiomys intermedius","Rodentia","Muridae","Baiomys","intermedius","ND","ND","Packard y Alvarez","1965",271.00,1.00
721.00,21.00,719.50,719.50,"Baiomys musculus","Rodentia","Muridae","Baiomys","musculus","ND","ROMUBAIMUS","(Merriam)","1892",819.00,1.00
722.00,21.00,719.50,719.50,"Baiomys sp.","Rodentia","Muridae","Baiomys","sp.","BY","ND","ND","ND",999999999.00,1.00
723.00,21.00,719.50,719.50,"Baiomys taylori","Rodentia","Muridae","Baiomys","taylori","BYty","ROMUBAITAY","(Thomas)","1887",819.00,1.00
723.50,15.00,719.00,719.00,"Habromys","Rodentia","Muridae","Habromys","ND","ND","ND","(Hooper y Musser)","1964",819.00,1.00
724.00,21.00,723.50,723.50,"Habromys chinanteco","Rodentia","Muridae","Habromys","chinanteco","ND","ROMUHABCHI","(Robertson y Musser)","1976",819.00,1.00
725.00,21.00,723.50,723.50,"Habromys lepturus","Rodentia","Muridae","Habromys","lepturus","ND","ROMUHABLEP","(Merriam)","1898",819.00,1.00
726.00,21.00,723.50,723.50,"Habromys lophurus","Rodentia","Muridae","Habromys","lophurus","ND","ROMUHABLOP","(Osgood)","1904",819.00,1.00
727.00,21.00,723.50,723.50,"Habromys simulatus","Rodentia","Muridae","Habromys","simulatus","ND","ROMUHABSIM","(Osgood)","1904",819.00,1.00
728.00,21.00,723.50,723.50,"Habromys sp.","Rodentia","Muridae","Habromys","sp.","ND","ND","ND","ND",999999999.00,1.00
728.50,15.00,719.00,719.00,"Hodomys","Rodentia","Muridae","Hodomys","ND","ND","ND","Merriam","1894",819.00,1.00
729.00,21.00,728.50,728.50,"Hodomys alleni","Rodentia","Muridae","Hodomys","alleni","ND","ROMUHODALL","(Merriam)","1892",819.00,1.00
730.00,21.00,728.50,728.50,"Hodomys sp.","Rodentia","Muridae","Hodomys","sp.","ND","ND","ND","ND",999999999.00,1.00
731.00,21.00,728.50,728.50,"Hodomys sp. nov.","Rodentia","Muridae","Hodomys","sp. nov.","ND","ND","ND","ND",713.00,1.00
731.50,15.00,719.00,719.00,"Megadontomys","Rodentia","Muridae","Megadontomys","ND","ND","ND","Merriam","1898",819.00,1.00
732.00,21.00,731.50,731.50,"Megadontomys cryophilus","Rodentia","Muridae","Megadontomys","cryophilus","ND","ROMUMEGCRY","(Musser)","1964",819.00,1.00
733.00,21.00,731.50,731.50,"Megadontomys nelsoni","Rodentia","Muridae","Megadontomys","nelsoni","ND","ROMUMEGNEL","(Merriam)","1898",819.00,1.00
734.00,21.00,731.50,731.50,"Megadontomys sp.","Rodentia","Muridae","Megadontomys","sp.","ND","ND","ND","ND",999999999.00,1.00
735.00,21.00,731.50,731.50,"Megadontomys thomasi","Rodentia","Muridae","Megadontomys","thomasi","ND","ROMUMEGTHO","(Merriam)","1898",819.00,1.00
735.50,15.00,719.00,719.00,"Microtus","Rodentia","Muridae","Microtus","ND","ND","ND","Schrank","1798",819.00,1.00
736.00,21.00,735.50,735.50,"Microtus californicus","Rodentia","Muridae","Microtus","californicus","MIcp","ROMUMICCAL","(Peale)","1848",819.00,1.00
737.00,21.00,735.50,735.50,"Microtus guatemalensis","Rodentia","Muridae","Microtus","guatemalensis","ND","ROMUMICGUA","Merriam","1898",819.00,1.00
738.00,21.00,735.50,735.50,"Microtus meadensis","Rodentia","Muridae","Microtus","meadensis","MImd","ND","(Hibbard)","1944",365.00,1.00
739.00,21.00,735.50,735.50,"Microtus mexicanus","Rodentia","Muridae","Microtus","mexicanus","MIme","ROMUMICMEX","(Saussure)","1861",819.00,1.00
740.00,21.00,735.50,735.50,"Microtus oaxacensis","Rodentia","Muridae","Microtus","oaxacensis","ND","ROMUMICOAX","Goodwin","1966",819.00,1.00
741.00,21.00,735.50,735.50,"Microtus pennsylvanicus","Rodentia","Muridae","Microtus","pennsylvanicus","MIpe","ROMUMICPEN","(Ord)","1815",819.00,1.00
742.00,21.00,735.50,735.50,"Microtus pinetorum","Rodentia","Muridae","Microtus","pinetorum","MIpi","ND","(Le Conte)","1830",819.00,1.00
743.00,21.00,735.50,735.50,"Microtus pliocaenicus","Rodentia","Muridae","Microtus","pliocaenicus","ND","ND","(Kormos)","1933",819.00,1.00
744.00,21.00,735.50,735.50,"Microtus quasiater","Rodentia","Muridae","Microtus","quasiater","ND","ROMUMICQUA","(Coues)","1874",819.00,1.00
745.00,21.00,735.50,735.50,"Microtus sp.","Rodentia","Muridae","Microtus","sp.","MI","ND","ND","ND",999999999.00,1.00
746.00,21.00,735.50,735.50,"Microtus umbrosus","Rodentia","Muridae","Microtus","umbrosus","ND","ROMUMICUMB","Merriam","1898",819.00,1.00
746.50,15.00,719.00,719.00,"Nelsonia","Rodentia","Muridae","Nelsonia","ND","ND","ND","Merriam","1897",819.00,1.00
747.00,21.00,746.50,746.50,"Nelsonia goldmani","Rodentia","Muridae","Nelsonia","goldmani","ND","ROMUNELGOL","Merriam","1903",819.00,1.00
748.00,21.00,746.50,746.50,"Nelsonia neotomodon","Rodentia","Muridae","Nelsonia","neotomodon","ND","ROMUNELNEO","Merriam","1897",819.00,1.00
749.00,21.00,748.50,748.50,"Nelsonia sp.","Rodentia","Muridae","Nelsonia","sp.","ND","ND","ND","ND",999999999.00,1.00
749.50,15.00,719.00,719.00,"Neotoma","Rodentia","Muridae","Neotoma","ND","ND","ND","Say y Ord","1825",819.00,1.00
750.00,21.00,749.50,749.50,"Neotoma albigula","Rodentia","Muridae","Neotoma","albigula","NEal","ROMUNEOALB","Hartley","1894",819.00,1.00
751.00,21.00,749.50,749.50,"Neotoma angustapalata","Rodentia","Muridae","Neotoma","angustapalata","ND","ROMUNEOANG","Baker","1951",819.00,1.00
752.00,21.00,749.50,749.50,"Neotoma anomala","Rodentia","Muridae","Neotoma","anomala","ND","ND","Alvarez y Hernndez C.","1994",68.00,1.00
753.00,21.00,749.50,749.50,"Neotoma anthonyi","Rodentia","Muridae","Neotoma","anthonyi","ND","ROMUNEOANT","J. A. Allen","1898",819.00,1.00
754.00,21.00,749.50,749.50,"Neotoma bryanti","Rodentia","Muridae","Neotoma","bryanti","ND","ROMUNEOBRY","Merriam","1887",819.00,1.00
755.00,21.00,749.50,749.50,"Neotoma bunkeri","Rodentia","Muridae","Neotoma","bunkeri","ND","ROMUNEOBUN","Burt","1932",819.00,1.00
757.00,21.00,749.50,749.50,"Neotoma cinerea","Rodentia","Muridae","Neotoma","cinerea","NEci","ND","(Ord)","1815",819.00,1.00
758.50,21.00,749.50,749.50,"Neotoma devia","Rodentia","Muridae","Neotoma","devia","ND","ND","Goldman","1927",819.00,1.00
759.00,21.00,749.50,749.50,"Neotoma findleyi","Rodentia","Muridae","Neotoma","findleyi","NEfi","ND","Harris","1984",735.00,1.00
760.00,21.00,749.50,749.50,"Neotoma floridana","Rodentia","Muridae","Neotoma","floridana","NEfl","ND","(Ord)","1818",819.00,1.00
760.50,21.00,749.50,749.50,"Neotoma fuscipes","Rodentia","Muridae","Neotoma","fuscipes","ND","ND","Baird","1858",834.00,1.00
761.00,21.00,749.50,749.50,"Neotoma goldmani","Rodentia","Muridae","Neotoma","goldmani","NEgo","ROMUNEOGOL","Merriam","1903",819.00,1.00
762.00,21.00,749.50,749.50,"Neotoma lepida","Rodentia","Muridae","Neotoma","lepida","NEle","ROMUNEOLEP","Thomas","1893",819.00,1.00
763.00,21.00,749.50,749.50,"Neotoma magnodonta","Rodentia","Muridae","Neotoma","magnodonta","ND","ND","Alvarez","1966",98.00,1.00
764.00,21.00,749.50,749.50,"Neotoma martinensis","Rodentia","Muridae","Neotoma","martinensis","ND","ROMUNEOMAR","Goldman","1905",819.00,1.00
765.00,21.00,749.50,749.50,"Neotoma mexicana","Rodentia","Muridae","Neotoma","mexicana","NEme","ROMUNEOMEX","Baird","1855",819.00,1.00
766.00,21.00,749.50,749.50,"Neotoma micropus","Rodentia","Muridae","Neotoma","micropus","NEmi","ROMUNEOMIC","Baird","1855",819.00,1.00
768.00,21.00,749.50,749.50,"Neotoma nelsoni","Rodentia","Muridae","Neotoma","nelsoni","ND","ROMUNEONEL","Goldman","1905",819.00,1.00
769.00,21.00,749.50,749.50,"Neotoma palatina","Rodentia","Muridae","Neotoma","palatina","ND","ROMUNEOPAL","Goldman","1905",819.00,1.00
770.00,21.00,749.50,749.50,"Neotoma phenax","Rodentia","Muridae","Neotoma","phenax","ND","ROMUNEOPHE","(Merriam)","1903",819.00,1.00
771.00,21.00,749.50,749.50,"Neotoma sp.","Rodentia","Muridae","Neotoma","sp.","NE","ND","ND","ND",999999999.00,1.00
772.00,21.00,749.50,749.50,"Neotoma tlapacoyana","Rodentia","Muridae","Neotoma","tlapacoyana","ND","ND","Alvarez y Hernndez C.","1994",68.00,1.00
773.00,21.00,749.50,749.50,"Neotoma varia","Rodentia","Muridae","Neotoma","varia","ND","ROMUNEOVAR","Burt","1932",819.00,1.00
773.50,15.00,719.00,719.00,"Neotomodon","Rodentia","Muridae","Neotomodon","ND","ND","ND","Merriam","1898",819.00,1.00
774.00,21.00,773.50,773.50,"Neotomodon alstoni","Rodentia","Muridae","Neotomodon","alstoni","ND","ROMUNEOALS","Merriam","1898",819.00,1.00
775.00,21.00,773.50,773.50,"Neotomodon sp.","Rodentia","Muridae","Neotomodon","sp.","ND","ND","ND","ND",999999999.00,1.00
775.50,15.00,719.00,719.00,"Nyctomys","Rodentia","Muridae","Nyctomys","ND","ND","ND","Saussure","1860",819.00,1.00
776.00,21.00,775.50,775.50,"Nyctomys sp.","Rodentia","Muridae","Nyctomys","sp.","ND","ND","ND","ND",999999999.00,1.00
777.00,21.00,775.50,775.50,"Nyctomys sumichrasti","Rodentia","Muridae","Nyctomys","sumichrasti","ND","ROMUNYCSUM","(Saussure)","1860",819.00,1.00
777.50,15.00,719.00,719.00,"Oligoryzomys","Rodentia","Muridae","Oligoryzomys","ND","ND","ND","Bangs","1900",819.00,1.00
778.00,21.00,777.50,777.50,"Oligoryzomys fulvescens","Rodentia","Muridae","Oligoryzomys","fulvescens","ND","ROMUOLIFUL","(Saussure)","1860",819.00,1.00
779.00,21.00,777.50,777.50,"Oligoryzomys sp.","Rodentia","Muridae","Oligoryzomys","sp.","ND","ND","ND","ND",999999999.00,1.00
779.50,15.00,719.00,719.00,"Ondatra","Rodentia","Muridae","Ondatra","ND","ND","ND","Link","1795",819.00,1.00
780.00,21.00,779.50,779.50,"Ondatra nebracensis","Rodentia","Muridae","Ondatra","nebracensis","ND","ND","(Hollister)","1911",365.00,1.00
781.00,21.00,779.50,779.50,"Ondatra sp.","Rodentia","Muridae","Ondatra","sp.","OT","ND","ND","ND",999999999.00,1.00
782.00,21.00,779.50,779.50,"Ondatra zibethicus","Rodentia","Muridae","Ondatra","zibethicus","OTzi","ROMUONDZIB","(Linnaeus)","1766",819.00,1.00
782.50,15.00,719.00,719.00,"Onychomys","Rodentia","Muridae","Onychomys","ND","ND","ND","Baird","1858",819.00,1.00
783.00,21.00,782.50,782.50,"Onychomys arenicola","Rodentia","Muridae","Onychomys","arenicola","ND","ROMUONYARE","Mearns","1896",819.00,1.00
784.00,21.00,782.50,782.50,"Onychomys leucogaster","Rodentia","Muridae","Onychomys","leucogaster","ONle","ROMUONYLEU","(Wied-Neuwied)","1841",819.00,1.00
785.00,21.00,782.50,782.50,"Onychomys sp.","Rodentia","Muridae","Onychomys","sp.","ON","ND","ND","ND",999999999.00,1.00
786.00,21.00,782.50,782.50,"Onychomys torridus","Rodentia","Muridae","Onychomys","torridus","ONtd","ROMUONYTOR","(Coues)","1874",819.00,1.00
786.50,15.00,719.00,719.00,"Oryzomys","Rodentia","Muridae","Oryzomys","ND","ND","ND","Baird","1858",819.00,1.00
787.00,21.00,786.50,786.50,"Oryzomys alfaroi","Rodentia","Muridae","Oryzomys","alfaroi","ND","ROMUORYALF","(J. A. Allen)","1891",819.00,1.00
788.00,21.00,786.50,786.50,"Oryzomys couesi","Rodentia","Muridae","Oryzomys","couesi","ORpa","ROMUORYCOU","(Alston)","1877",819.00,1.00
789.00,21.00,786.50,786.50,"Oryzomys chapmani","Rodentia","Muridae","Oryzomys","chapmani","ND","ROMUORYCHA","Thomas","1898",819.00,1.00
790.00,21.00,786.50,786.50,"Oryzomys melanotis","Rodentia","Muridae","Oryzomys","melanotis","ND","ROMUORYMEL","Thomas","1893",819.00,1.00
791.00,21.00,786.50,786.50,"Oryzomys nelsoni","Rodentia","Muridae","Oryzomys","nelsoni","ND","ROMUORYNEL","Merriam","1898",819.00,1.00
791.20,21.00,786.50,786.50,"Oryzomys palustris","Rodentia","Muridae","Oryzomys","palustris","ND","ROMUORYNEL","(Harlan)","1837",819.00,1.00
791.40,21.00,786.50,786.50,"Oryzomys rhabdops","Rodentia","Muridae","Oryzomys","rhabdops","ND","ROMUORYNEL","Merriam","1901",834.00,1.00
791.60,21.00,786.50,786.50,"Oryzomys rostratus","Rodentia","Muridae","Oryzomys","rostratus","ND","ROMUORYNEL","Merriam","1901",834.00,1.00
791.80,21.00,786.50,786.50,"Oryzomys saturatior","Rodentia","Muridae","Oryzomys","saturatior","ND","ROMUORYNEL","Merriam","1901",834.00,1.00
792.00,21.00,786.50,786.50,"Oryzomys sp.","Rodentia","Muridae","Oryzomys","sp.","OR","ND","ND","ND",999999999.00,1.00
792.50,15.00,719.00,719.00,"Osgoodomys","Rodentia","Muridae","Osgoodomys","ND","ND","ND","Hooper y Musser","1964",819.00,1.00
793.00,21.00,792.50,792.50,"Osgoodomys banderanus","Rodentia","Muridae","Osgoodomys","banderanus","ND","ROMUOSGBAN","(J. A. Allen)","1897",819.00,1.00
794.00,21.00,792.50,792.50,"Osgoodomys sp.","Rodentia","Muridae","Osgoodomys","sp.","ND","ND","ND","ND",999999999.00,1.00
794.50,15.00,719.00,719.00,"Otonyctomys","Rodentia","Muridae","Otonyctomys","ND","ND","ND","Anthony","1932",819.00,1.00
795.00,21.00,794.50,794.50,"Otonyctomys hatti","Rodentia","Muridae","Otonyctomys","hatti","ND","ROMUOTOHAT","Anthony","1932",819.00,1.00
796.00,21.00,794.50,794.50,"Otonyctomys sp.","Rodentia","Muridae","Otonyctomys","sp.","ND","ND","ND","ND",999999999.00,1.00
796.50,15.00,794.50,794.50,"Ototylomys","Rodentia","Muridae","Ototylomys","ND","ND","ND","Merriam","1901",819.00,1.00
797.00,21.00,794.50,794.50,"Ototylomys phyllotis","Rodentia","Muridae","Ototylomys","phyllotis","ND","OTOPHY","Merriam","1901",819.00,1.00
798.00,21.00,794.50,794.50,"Ototylomys sp.","Rodentia","Muridae","Ototylomys","sp.","ND","ND","ND","ND",999999999.00,1.00
798.50,15.00,719.00,719.00,"Peromyscus","Rodentia","Muridae","Peromyscus","ND","ND","ND","Gloger","1841",,1.00
799.00,21.00,798.50,798.50,"Peromyscus aztecus","Rodentia","Muridae","Peromyscus","aztecus","ND","ROMUPERAZT","(Saussure)","1860",819.00,1.00
800.00,21.00,798.50,798.50,"Peromyscus beatae","Rodentia","Muridae","Peromyscus","beatae","ND","ROMUPERBEA","Thomas","1903",834.00,1.00
801.00,21.00,798.50,798.50,"Peromyscus boylii","Rodentia","Muridae","Peromyscus","boylii","PEbo","ROMUPERBOY","(Baird)","1855",819.00,1.00
802.00,21.00,798.50,798.50,"Peromyscus bullatus","Rodentia","Muridae","Peromyscus","bullatus","ND","ROMUPERBUL","Osgood","1904",819.00,1.00
803.00,21.00,798.50,798.50,"Peromyscus californicus","Rodentia","Muridae","Peromyscus","californicus","PEcf","ROMUPERCAL","(Gambel)","1848",819.00,1.00
804.00,21.00,798.50,798.50,"Peromyscus caniceps","Rodentia","Muridae","Peromyscus","caniceps","ND","ROMUPERCAN","Burt","1932",819.00,1.00
807.00,21.00,798.50,798.50,"Peromyscus crinitus","Rodentia","Muridae","Peromyscus","crinitus","PEcr","ROMUPERCRI","(Merriam)","1891",819.00,1.00
808.00,21.00,798.50,798.50,"Peromyscus dickeyi","Rodentia","Muridae","Peromyscus","dickeyi","ND","ROMUPERDIC","Burt","1932",819.00,1.00
809.00,21.00,798.50,798.50,"Peromyscus difficilis","Rodentia","Muridae","Peromyscus","difficilis","PEdi","ROMUPERDIF","(J. A. Allen)","1891",819.00,1.00
810.00,21.00,798.50,798.50,"Peromyscus eremicus","Rodentia","Muridae","Peromyscus","eremicus","PEer","ROMUPERERE","(Baird)","1858",819.00,1.00
811.00,21.00,798.50,798.50,"Peromyscus eva","Rodentia","Muridae","Peromyscus","eva","ND","ROMUPEREVA","Thomas","1898",819.00,1.00
812.00,21.00,798.50,798.50,"Peromyscus furvus","Rodentia","Muridae","Peromyscus","furvus","ND","ROMUPERFUR","J. A. Allen y Chapman","1897",819.00,1.00
813.00,21.00,798.50,798.50,"Peromyscus gratus","Rodentia","Muridae","Peromyscus","gratus","ND","ROMUPERGRA","Merriam","1898",819.00,1.00
814.00,21.00,798.50,798.50,"Peromyscus guardia","Rodentia","Muridae","Peromyscus","guardia","ND","ROMUPERGUA","Townsend","1912",819.00,1.00
815.00,21.00,798.50,798.50,"Peromyscus guatemalensis","Rodentia","Muridae","Peromyscus","guatemalensis","ND","ROMUPERGUT","Merriam","1898",819.00,1.00
816.00,21.00,798.50,798.50,"Peromyscus gymnotis","Rodentia","Muridae","Peromyscus","gymnotis","ND","ROMUPERGYM","Thomas","1894",819.00,1.00
817.00,21.00,798.50,798.50,"Peromyscus hooperi","Rodentia","Muridae","Peromyscus","hooperi","ND","ROMUPERHOO","Lee y Schmidly","1977",819.00,1.00
818.00,21.00,798.50,798.50,"Peromyscus interparietalis","Rodentia","Muridae","Peromyscus","interparietalis","ND","ROMUPERINT","Burt","1932",819.00,1.00
819.00,21.00,798.50,798.50,"Peromyscus leucopus","Rodentia","Muridae","Peromyscus","leucopus","PEle","ROMUPERLEU","(Rafinesque)","1818",819.00,1.00
820.00,21.00,798.50,798.50,"Peromyscus levipes","Rodentia","Muridae","Peromyscus","levipes","ND","ROMUPERLEV","Merriam","1898",819.00,1.00
821.00,21.00,798.50,798.50,"Peromyscus madrensis","Rodentia","Muridae","Peromyscus","madrensis","ND","ROMUPERMAD","Merriam","1898",819.00,1.00
822.00,21.00,798.50,798.50,"Peromyscus maldonadoi","Rodentia","Muridae","Peromyscus","maldonadoi","ND","ND","Alvarez","1966",98.00,1.00
823.00,21.00,798.50,798.50,"Peromyscus maniculatus","Rodentia","Muridae","Peromyscus","maniculatus","PEma","ROMUPERMAN","(Wagner)","1845",819.00,1.00
824.00,21.00,798.50,798.50,"Peromyscus megalops","Rodentia","Muridae","Peromyscus","megalops","ND","ROMUPERMEG","Merriam","1898",819.00,1.00
825.00,21.00,798.50,798.50,"Peromyscus mekisturus","Rodentia","Muridae","Peromyscus","mekisturus","ND","ROMUPERMEK","Merriam","1898",819.00,1.00
826.00,21.00,798.50,798.50,"Peromyscus melanocarpus","Rodentia","Muridae","Peromyscus","melanocarpus","ND","ROMUPERMEL","Osgood","1904",819.00,1.00
827.00,21.00,798.50,798.50,"Peromyscus melanophrys","Rodentia","Muridae","Peromyscus","melanophrys","ND","ROMUPERMEA","(Coues)","1874",819.00,1.00
828.00,21.00,798.50,798.50,"Peromyscus melanotis","Rodentia","Muridae","Peromyscus","melanotis","ND","ROMUPERMEN","J. A. Allen y Chapman","1897",819.00,1.00
829.00,21.00,798.50,798.50,"Peromyscus melanurus","Rodentia","Muridae","Peromyscus","melanurus","ND","ROMUPERMEU","Osgood","1909",819.00,1.00
830.00,21.00,798.50,798.50,"Peromyscus merriami","Rodentia","Muridae","Peromyscus","merriami","PEme","ROMUPERMER","Mearns","1896",819.00,1.00
831.00,21.00,798.50,798.50,"Peromyscus mexicanus","Rodentia","Muridae","Peromyscus","mexicanus","ND","ROMUPERMEX","(Saussure)","1860",819.00,1.00
832.00,21.00,798.50,798.50,"Peromyscus nasutus","Rodentia","Muridae","Peromyscus","nasutus","ND","ROMUPERNAS","(J. A. Allen)","1891",819.00,1.00
833.00,21.00,798.50,798.50,"Peromyscus ochraventer","Rodentia","Muridae","Peromyscus","ochraventer","ND","ROMUPEROCH","Baker","1951",819.00,1.00
834.00,21.00,798.50,798.50,"Peromyscus pectoralis","Rodentia","Muridae","Peromyscus","pectoralis","PEpe","ROMUPERPEC","Osgood","1904",819.00,1.00
835.00,21.00,798.50,798.50,"Peromyscus pembertoni","Rodentia","Muridae","Peromyscus","pembertoni","ND","ROMUPERPEM","Burt","1932",819.00,1.00
836.00,21.00,798.50,798.50,"Peromyscus perfulvus","Rodentia","Muridae","Peromyscus","perfulvus","ND","ROMUPERPER","Osgood","1945",819.00,1.00
837.00,21.00,798.50,798.50,"Peromyscus polius","Rodentia","Muridae","Peromyscus","polius","ND","ROMUPERPOL","Osgood","1904",819.00,1.00
838.00,21.00,798.50,798.50,"Peromyscus pseudocrinitus","Rodentia","Muridae","Peromyscus","pseudocrinitus","ND","ROMUPERPSE","Burt","1932",819.00,1.00
839.00,21.00,798.50,798.50,"Peromyscus sejugis","Rodentia","Muridae","Peromyscus","sejugis","ND","ROMUPERSEJ","Burt","1932",819.00,1.00
840.00,21.00,798.50,798.50,"Peromyscus simulus","Rodentia","Muridae","Peromyscus","simulus","ND","ROMUPERSIM","Osgood","1904",819.00,1.00
841.00,21.00,798.50,798.50,"Peromyscus slevini","Rodentia","Muridae","Peromyscus","slevini","ND","ROMUPERSLE","Mailliard","1924",819.00,1.00
842.00,21.00,798.50,798.50,"Peromyscus sp.","Rodentia","Muridae","Peromyscus","sp.","PE","ND","ND","ND",999999999.00,1.00
843.00,21.00,798.50,798.50,"Peromyscus spicilegus","Rodentia","Muridae","Peromyscus","spicilegus","ND","ROMUPERSPI","J. A. Allen","1897",819.00,1.00
844.00,21.00,798.50,798.50,"Peromyscus stephani","Rodentia","Muridae","Peromyscus","stephani","ND","ROMUPERSTE","Townsend","1912",819.00,1.00
845.00,21.00,798.50,798.50,"Peromyscus truei","Rodentia","Muridae","Peromyscus","truei","PEtr","ROMUPERTRU","(Shufeldt)","1885",819.00,1.00
846.00,21.00,798.50,798.50,"Peromyscus winkelmanni","Rodentia","Muridae","Peromyscus","winkelmanni","ND","ROMUPERWIN","Carleton","1977",819.00,1.00
847.00,21.00,798.50,798.50,"Peromyscus yucatanicus","Rodentia","Muridae","Peromyscus","yucatanicus","ND","ROMUPERYUC","J. A. Allen y Chapman","1897",819.00,1.00
